priority,article_id,current_state,problem,change_location,change_candidate,link_source,link_target,anchor_candidate,utm,reason,verification,decision_status
P1,nff5536b5d028,Public body contains the old LINE identifier hX5uJxc.,OLD_LINE,LINE links in the article body,Replace only the destination with the current LINE URL; preserve factual article content.,nff5536b5d028,https://lin.ee/rG3y2px,公式LINEはこちら,NONE,The live full-inventory audit found an old identifier outside the five-row Phase01 delta.,Re-fetch the public body; hX5uJxc count=0 and rG3y2px is present where a LINE link remains.,OBSERVED_QUEUE
P2,n8ee093a81681,12 note-to-note links contain tracking parameters.,INTERNAL_UTM_CONTAMINATION,note-to-note links in the article body,Remove query parameters and retain canonical note article URLs.,n8ee093a81681,n26cb6103892a;n341eb4c05451;n47ad7c3d95fe;n4a9b55a64e75;n5ffb8e639541;n61dedbe2b8f9;n65308cfb33d5;n7abf88d82b87;n820d578c951d;nacbe18cfbbc2;ne5cd7acfddda;nff5536b5d028,KEEP_EXISTING_MEANINGFUL_TEXT,NONE,Internal note links do not need acquisition tracking and chatgpt.com attribution is not an article source.,Re-fetch the public body; every note-to-note link has utm_status=OK.,OBSERVED_QUEUE
P2,nac40e158ff77,3 note-to-note links contain tracking parameters.,INTERNAL_UTM_CONTAMINATION,note-to-note links in the article body,Remove query parameters and retain canonical note article URLs.,nac40e158ff77,n5ffb8e639541;n61dedbe2b8f9;nacbe18cfbbc2,KEEP_EXISTING_MEANINGFUL_TEXT,NONE,Internal note links do not need acquisition tracking and chatgpt.com attribution is not an article source.,Re-fetch the public body; every note-to-note link has utm_status=OK.,OBSERVED_QUEUE
P2,n1a8cc1194751,5 note-to-note links contain tracking parameters.,INTERNAL_UTM_CONTAMINATION,note-to-note links in the article body,Remove query parameters and retain canonical note article URLs.,n1a8cc1194751,n4a9b55a64e75;n5ffb8e639541;n61dedbe2b8f9;nacbe18cfbbc2;nb3c7b330fdad,KEEP_EXISTING_MEANINGFUL_TEXT,NONE,Internal note links do not need acquisition tracking and chatgpt.com attribution is not an article source.,Re-fetch the public body; every note-to-note link has utm_status=OK.,OBSERVED_QUEUE
P2,nadbc274ac777,4 note-to-note links contain tracking parameters.,INTERNAL_UTM_CONTAMINATION,note-to-note links in the article body,Remove query parameters and retain canonical note article URLs.,nadbc274ac777,n4a9b55a64e75;n61dedbe2b8f9;n7abf88d82b87;nacbe18cfbbc2,KEEP_EXISTING_MEANINGFUL_TEXT,NONE,Internal note links do not need acquisition tracking and chatgpt.com attribution is not an article source.,Re-fetch the public body; every note-to-note link has utm_status=OK.,OBSERVED_QUEUE
P2,nb3c7b330fdad,3 note-to-note links contain tracking parameters.,INTERNAL_UTM_CONTAMINATION,note-to-note links in the article body,Remove query parameters and retain canonical note article URLs.,nb3c7b330fdad,n5ffb8e639541;n61dedbe2b8f9;nacbe18cfbbc2,KEEP_EXISTING_MEANINGFUL_TEXT,NONE,Internal note links do not need acquisition tracking and chatgpt.com attribution is not an article source.,Re-fetch the public body; every note-to-note link has utm_status=OK.,OBSERVED_QUEUE
P2,n775b67a5339c,6 note-to-note links contain tracking parameters.,INTERNAL_UTM_CONTAMINATION,note-to-note links in the article body,Remove query parameters and retain canonical note article URLs.,n775b67a5339c,n282cb4929242;n47ad7c3d95fe;n58cc043f5fa4;n670a62197b88;n874020106a81;nacbe18cfbbc2,KEEP_EXISTING_MEANINGFUL_TEXT,NONE,Internal note links do not need acquisition tracking and chatgpt.com attribution is not an article source.,Re-fetch the public body; every note-to-note link has utm_status=OK.,OBSERVED_QUEUE
P1,nf2e9b36aa277,Public body contains the old LINE identifier hX5uJxc.,OLD_LINE,LINE links in the article body,Replace only the destination with the current LINE URL; preserve factual article content.,nf2e9b36aa277,https://lin.ee/rG3y2px,公式LINEはこちら,NONE,The live full-inventory audit found an old identifier outside the five-row Phase01 delta.,Re-fetch the public body; hX5uJxc count=0 and rG3y2px is present where a LINE link remains.,OBSERVED_QUEUE
P2,n5ae43e607ee7,4 note-to-note links contain tracking parameters.,INTERNAL_UTM_CONTAMINATION,note-to-note links in the article body,Remove query parameters and retain canonical note article URLs.,n5ae43e607ee7,n282cb4929242;nacbe18cfbbc2;nec839cc36cac;nfdc25e93418f,KEEP_EXISTING_MEANINGFUL_TEXT,NONE,Internal note links do not need acquisition tracking and chatgpt.com attribution is not an article source.,Re-fetch the public body; every note-to-note link has utm_status=OK.,OBSERVED_QUEUE
P2,n874020106a81,8 note-to-note links contain tracking parameters.,INTERNAL_UTM_CONTAMINATION,note-to-note links in the article body,Remove query parameters and retain canonical note article URLs.,n874020106a81,n47ad7c3d95fe;n58cc043f5fa4;n65308cfb33d5;n670a62197b88;n775b67a5339c;nacbe18cfbbc2;ne5cd7acfddda;nec839cc36cac,KEEP_EXISTING_MEANINGFUL_TEXT,NONE,Internal note links do not need acquisition tracking and chatgpt.com attribution is not an article source.,Re-fetch the public body; every note-to-note link has utm_status=OK.,OBSERVED_QUEUE
P1,nc52beb9469d1,"Search exposure was recorded, but the public-body graph has no path to official Web, consultation, LINE, or reservation.",SEARCH_EXPOSURE_WITHOUT_ACTION,one primary next-step section,RELATED_CASE_OR_PRECONSULT,nc52beb9469d1,TO_BE_SELECTED_FROM_VERIFIED_THEME_PATH,HUMAN_REVIEW_REQUIRED,FOLLOW_PHASE02_UTM_RULE,This is the highest-priority structural gap: observed discovery without a next action.,"Re-fetch the public article, rerun graph audit, and later observe the relevant event without inferring a visit.",AUTO_CANDIDATE
P2,n670a62197b88,4 note-to-note links contain tracking parameters.,INTERNAL_UTM_CONTAMINATION,note-to-note links in the article body,Remove query parameters and retain canonical note article URLs.,n670a62197b88,n282cb4929242;n47ad7c3d95fe;n874020106a81;nacbe18cfbbc2,KEEP_EXISTING_MEANINGFUL_TEXT,NONE,Internal note links do not need acquisition tracking and chatgpt.com attribution is not an article source.,Re-fetch the public body; every note-to-note link has utm_status=OK.,OBSERVED_QUEUE
P2,n2604158e10ac,5 note-to-note links contain tracking parameters.,INTERNAL_UTM_CONTAMINATION,note-to-note links in the article body,Remove query parameters and retain canonical note article URLs.,n2604158e10ac,n4a9b55a64e75;n65308cfb33d5;n775b67a5339c;nacbe18cfbbc2;nff5536b5d028,KEEP_EXISTING_MEANINGFUL_TEXT,NONE,Internal note links do not need acquisition tracking and chatgpt.com attribution is not an article source.,Re-fetch the public body; every note-to-note link has utm_status=OK.,OBSERVED_QUEUE
P2,nb6a456406182,6 note-to-note links contain tracking parameters.,INTERNAL_UTM_CONTAMINATION,note-to-note links in the article body,Remove query parameters and retain canonical note article URLs.,nb6a456406182,n47ad7c3d95fe;n4be16ad0595a;n775b67a5339c;nacbe18cfbbc2;nc52beb9469d1;ne5cd7acfddda,KEEP_EXISTING_MEANINGFUL_TEXT,NONE,Internal note links do not need acquisition tracking and chatgpt.com attribution is not an article source.,Re-fetch the public body; every note-to-note link has utm_status=OK.,OBSERVED_QUEUE
P1,nacbe18cfbbc2,Public body contains the old LINE identifier hX5uJxc.,OLD_LINE,LINE links in the article body,Replace only the destination with the current LINE URL; preserve factual article content.,nacbe18cfbbc2,https://lin.ee/rG3y2px,公式LINEで髪のお悩みを相談する,NONE,The live full-inventory audit found an old identifier outside the five-row Phase01 delta.,Re-fetch the public body; hX5uJxc count=0 and rG3y2px is present where a LINE link remains.,OBSERVED_QUEUE
P2,n91415ed02262,4 note-to-note links contain tracking parameters.,INTERNAL_UTM_CONTAMINATION,note-to-note links in the article body,Remove query parameters and retain canonical note article URLs.,n91415ed02262,n341eb4c05451;n3d33767ab824;n857bdffbf113;nacbe18cfbbc2,KEEP_EXISTING_MEANINGFUL_TEXT,NONE,Internal note links do not need acquisition tracking and chatgpt.com attribution is not an article source.,Re-fetch the public body; every note-to-note link has utm_status=OK.,OBSERVED_QUEUE
P2,nec839cc36cac,6 note-to-note links contain tracking parameters.,INTERNAL_UTM_CONTAMINATION,note-to-note links in the article body,Remove query parameters and retain canonical note article URLs.,nec839cc36cac,n282cb4929242;n47ad7c3d95fe;n65308cfb33d5;na91fee9fb319;nacbe18cfbbc2;nfdc25e93418f,KEEP_EXISTING_MEANINGFUL_TEXT,NONE,Internal note links do not need acquisition tracking and chatgpt.com attribution is not an article source.,Re-fetch the public body; every note-to-note link has utm_status=OK.,OBSERVED_QUEUE
P2,n4be16ad0595a,7 note-to-note links contain tracking parameters.,INTERNAL_UTM_CONTAMINATION,note-to-note links in the article body,Remove query parameters and retain canonical note article URLs.,n4be16ad0595a,n282cb4929242;n47ad7c3d95fe;n775b67a5339c;nacbe18cfbbc2;nc52beb9469d1;ne5cd7acfddda;nec839cc36cac,KEEP_EXISTING_MEANINGFUL_TEXT,NONE,Internal note links do not need acquisition tracking and chatgpt.com attribution is not an article source.,Re-fetch the public body; every note-to-note link has utm_status=OK.,OBSERVED_QUEUE
P1,na91fee9fb319,Public body contains the old LINE identifier hX5uJxc.,OLD_LINE,LINE links in the article body,Replace only the destination with the current LINE URL; preserve factual article content.,na91fee9fb319,https://lin.ee/rG3y2px,https://lin.ee/hX5uJxc,NONE,The live full-inventory audit found an old identifier outside the five-row Phase01 delta.,Re-fetch the public body; hX5uJxc count=0 and rG3y2px is present where a LINE link remains.,OBSERVED_QUEUE
P2,nfdf0ed53461c,9 note-to-note links contain tracking parameters.,INTERNAL_UTM_CONTAMINATION,note-to-note links in the article body,Remove query parameters and retain canonical note article URLs.,nfdf0ed53461c,n47ad7c3d95fe;n4be16ad0595a;n58cc043f5fa4;n65308cfb33d5;n670a62197b88;n775b67a5339c;nacbe18cfbbc2;ne5cd7acfddda;nec839cc36cac,KEEP_EXISTING_MEANINGFUL_TEXT,NONE,Internal note links do not need acquisition tracking and chatgpt.com attribution is not an article source.,Re-fetch the public body; every note-to-note link has utm_status=OK.,OBSERVED_QUEUE
P1,n282cb4929242,Public body contains the old LINE identifier hX5uJxc.,OLD_LINE,LINE links in the article body,Replace only the destination with the current LINE URL; preserve factual article content.,n282cb4929242,https://lin.ee/rG3y2px,h,NONE,The live full-inventory audit found an old identifier outside the five-row Phase01 delta.,Re-fetch the public body; hX5uJxc count=0 and rG3y2px is present where a LINE link remains.,OBSERVED_QUEUE
P2,n41589cc5b539,4 note-to-note links contain tracking parameters.,INTERNAL_UTM_CONTAMINATION,note-to-note links in the article body,Remove query parameters and retain canonical note article URLs.,n41589cc5b539,n341eb4c05451;n61dedbe2b8f9;n820d578c951d;nacbe18cfbbc2,KEEP_EXISTING_MEANINGFUL_TEXT,NONE,Internal note links do not need acquisition tracking and chatgpt.com attribution is not an article source.,Re-fetch the public body; every note-to-note link has utm_status=OK.,OBSERVED_QUEUE
P2,n7874cb42b364,4 note-to-note links contain tracking parameters.,INTERNAL_UTM_CONTAMINATION,note-to-note links in the article body,Remove query parameters and retain canonical note article URLs.,n7874cb42b364,n341eb4c05451;nacbe18cfbbc2;nadbc274ac777;nfdc25e93418f,KEEP_EXISTING_MEANINGFUL_TEXT,NONE,Internal note links do not need acquisition tracking and chatgpt.com attribution is not an article source.,Re-fetch the public body; every note-to-note link has utm_status=OK.,OBSERVED_QUEUE
P2,nc81e32727f40,5 note-to-note links contain tracking parameters.,INTERNAL_UTM_CONTAMINATION,note-to-note links in the article body,Remove query parameters and retain canonical note article URLs.,nc81e32727f40,n05d7c58db245;n341eb4c05451;n820d578c951d;nacbe18cfbbc2;nec839cc36cac,KEEP_EXISTING_MEANINGFUL_TEXT,NONE,Internal note links do not need acquisition tracking and chatgpt.com attribution is not an article source.,Re-fetch the public body; every note-to-note link has utm_status=OK.,OBSERVED_QUEUE
P2,n4e5d74d50a8e,4 note-to-note links contain tracking parameters.,INTERNAL_UTM_CONTAMINATION,note-to-note links in the article body,Remove query parameters and retain canonical note article URLs.,n4e5d74d50a8e,n341eb4c05451;nacbe18cfbbc2;nadbc274ac777;nfdc25e93418f,KEEP_EXISTING_MEANINGFUL_TEXT,NONE,Internal note links do not need acquisition tracking and chatgpt.com attribution is not an article source.,Re-fetch the public body; every note-to-note link has utm_status=OK.,OBSERVED_QUEUE
P1,n5c2fec4b2172,Public body contains the old LINE identifier hX5uJxc.,OLD_LINE,LINE links in the article body,Replace only the destination with the current LINE URL; preserve factual article content.,n5c2fec4b2172,https://lin.ee/rG3y2px,h,NONE,The live full-inventory audit found an old identifier outside the five-row Phase01 delta.,Re-fetch the public body; hX5uJxc count=0 and rG3y2px is present where a LINE link remains.,OBSERVED_QUEUE
P2,n2e003f966836,The article has no incoming or outgoing note-article edge in the public body.,KEY_PATH_ARTICLE_ISOLATED,related-reading section,Connect only to the verified next stage in the same theme path.,n2e003f966836,VERIFIED_NEXT_STAGE_FROM_THEME_PATH,DESCRIBE_THE_NEXT_QUESTION,NONE_FOR_NOTE_TO_NOTE,A selected path node should not depend on profile navigation alone.,Re-fetch the public body and confirm at least one relevant note edge without forcing a different search intent.,AUTO_CANDIDATE
P2,n69986ccf2398,The article has no incoming or outgoing note-article edge in the public body.,KEY_PATH_ARTICLE_ISOLATED,related-reading section,Connect only to the verified next stage in the same theme path.,n69986ccf2398,VERIFIED_NEXT_STAGE_FROM_THEME_PATH,DESCRIBE_THE_NEXT_QUESTION,NONE_FOR_NOTE_TO_NOTE,A selected path node should not depend on profile navigation alone.,Re-fetch the public body and confirm at least one relevant note edge without forcing a different search intent.,AUTO_CANDIDATE
P2,n1c8d4e7ffc3d,1 official-Web links do not follow the Phase02 UTM rule.,OFFICIAL_UTM_REVIEW,official-Web link in the article body,"Add the standard note source, article medium, and theme campaign after compatibility review.",n1c8d4e7ffc3d,https://ikeda-official-web.pages.dev/?utm_source=note&utm_medium=referral&utm_campaign=official_web_launch_202609%20,KEEP_EXISTING_MEANINGFUL_TEXT,utm_source=note&utm_medium=article&utm_campaign=preconsult_bridge,Standard attribution is required to compare theme routes without inventing per-URL names.,"Re-fetch the public body; the official link has the standard source, medium, and approved campaign.",HUMAN_REVIEW_REQUIRED
P2,n34713b0fb6e9,1 official-Web links do not follow the Phase02 UTM rule.,OFFICIAL_UTM_REVIEW,official-Web link in the article body,"Add the standard note source, article medium, and theme campaign after compatibility review.",n34713b0fb6e9,https://ikeda-official-web.pages.dev/,KEEP_EXISTING_MEANINGFUL_TEXT,utm_source=note&utm_medium=article&utm_campaign=preconsult_bridge,Standard attribution is required to compare theme routes without inventing per-URL names.,"Re-fetch the public body; the official link has the standard source, medium, and approved campaign.",HUMAN_REVIEW_REQUIRED
P2,n34713b0fb6e9,The article has no incoming or outgoing note-article edge in the public body.,KEY_PATH_ARTICLE_ISOLATED,related-reading section,Connect only to the verified next stage in the same theme path.,n34713b0fb6e9,VERIFIED_NEXT_STAGE_FROM_THEME_PATH,DESCRIBE_THE_NEXT_QUESTION,NONE_FOR_NOTE_TO_NOTE,A selected path node should not depend on profile navigation alone.,Re-fetch the public body and confirm at least one relevant note edge without forcing a different search intent.,AUTO_CANDIDATE
P2,n0568e0cfeddc,1 official-Web links do not follow the Phase02 UTM rule.,OFFICIAL_UTM_REVIEW,official-Web link in the article body,"Add the standard note source, article medium, and theme campaign after compatibility review.",n0568e0cfeddc,https://ikeda-official-web.pages.dev/home-care/,KEEP_EXISTING_MEANINGFUL_TEXT,utm_source=note&utm_medium=article&utm_campaign=care_scalp,Standard attribution is required to compare theme routes without inventing per-URL names.,"Re-fetch the public body; the official link has the standard source, medium, and approved campaign.",HUMAN_REVIEW_REQUIRED
