article_id,published_at_jst,title,url,live_status,inventory_as_of_jst,primary_theme,theme_status,primary_role,secondary_roles,role_status,search_intent,search_intent_status,source_strength,source_strength_status,observed_cta_types,recommended_primary_cta_candidate,official_web_connection,consultation_connection,line_connection,reservation_connection,internal_out_count,internal_in_count,one_way_out_count,isolated_graph,path_to_official_web,path_to_consultation,path_to_line,path_to_reservation,reachable_sink_types,brand_flags,old_line_flag,lifekarte_direct_flag,internal_utm_violation_count,official_utm_violation_count,ambiguous_anchor_count,case_fact_status,customer_reaction_status,note_seen,note_decisive,new_visit_involvement,search_exposure,discovery_value,understanding_value,decision_value,learning_value,ai_structure_coverage,ai_structure_missing,content_currentness,staleness_status,priority_score,priority_band,priority_reasons,human_review_required,legacy_registry_source
nac40e158ff77,2026-03-09T07:19:14.000+09:00,40代・50代でレイヤーが「若作りに見えないか」不安な方へ｜入れる前に確認したいこと,https://note.com/koichi_ikeda/n/nac40e158ff77,PUBLIC,2026-09-16,CEP5_LIGHT_NOT_THIN,TITLE_RULE,B_JUDGMENT,A_ENTRY,LEGACY_REGISTRY,40代・50代でレイヤーが「若作りに見えないか」不安な方へ｜入れる前に確認したいこと,TITLE_PROXY,B_PROFESSIONAL_JUDGMENT,ARTICLE_TEXT_OPERATIONAL_CLASSIFICATION,NOTE_ARTICLE,RELATED_CASE_OR_PRECONSULT,NO,NO,NO,NO,3,,3,NO,NO,YES,YES,YES,CONSULTATION;LINE;RESERVATION,AGE_ANXIETY:若見え,NO,NO,3,0,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SUPPORTED,POTENTIAL,UNKNOWN,AUDIENCE;CHECKS;CONCERN;JUDGMENT_BRANCH;NEXT_STEP;NOT_DO,ACTUAL_CASE,PUBLIC_SNAPSHOT_ONLY,UNKNOWN,35,P1_CANDIDATE,BRAND_REVIEW;INTERNAL_UTM,YES,ikeda-official-web/note_article_registry_2026-09-13.csv
n1a8cc1194751,2026-03-10T06:52:50.000+09:00,三田市でくびれロングを考えている方へ｜レイヤーを入れる前に確認したいこと,https://note.com/koichi_ikeda/n/n1a8cc1194751,PUBLIC,2026-09-16,CEP5_LIGHT_NOT_THIN,TITLE_RULE,B_JUDGMENT,A_ENTRY,LEGACY_REGISTRY,三田市でくびれロングを考えている方へ｜レイヤーを入れる前に確認したいこと,TITLE_PROXY,B_PROFESSIONAL_JUDGMENT,ARTICLE_TEXT_OPERATIONAL_CLASSIFICATION,NOTE_ARTICLE,RELATED_CASE_OR_PRECONSULT,NO,NO,NO,NO,5,,5,NO,NO,YES,YES,YES,CONSULTATION;LINE;RESERVATION,AGE_ANXIETY:若見え,NO,NO,5,0,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SUPPORTED,POTENTIAL,UNKNOWN,AUDIENCE;CHECKS;CONCERN;JUDGMENT_BRANCH;NEXT_STEP;NOT_DO,ACTUAL_CASE,PUBLIC_SNAPSHOT_ONLY,UNKNOWN,35,P1_CANDIDATE,BRAND_REVIEW;INTERNAL_UTM,YES,ikeda-official-web/note_article_registry_2026-09-13.csv
nadbc274ac777,2026-03-11T07:27:13.000+09:00,三田市で髪が重く・パサついて見える方へ｜カットとカラー、どちらを先に変える？,https://note.com/koichi_ikeda/n/nadbc274ac777,PUBLIC,2026-09-16,CEP6_COLOR_DECISION_CANDIDATE,TITLE_RULE_HUMAN_REVIEW,A_ENTRY,NONE,LEGACY_REGISTRY,三田市で髪が重く・パサついて見える方へ｜カットとカラー、どちらを先に変える？,TITLE_PROXY,D_GENERAL_EXPLANATION,ARTICLE_TEXT_OPERATIONAL_CLASSIFICATION,NOTE_ARTICLE,RELATED_JUDGMENT_ARTICLE,NO,NO,NO,NO,4,3,4,NO,NO,YES,YES,YES,CONSULTATION;LINE;RESERVATION,OVERCLAIM:必ず,NO,NO,4,0,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,POTENTIAL,UNKNOWN,UNKNOWN,AUDIENCE;CHECKS;CONCERN;JUDGMENT_BRANCH;NEXT_STEP;NOT_DO,ACTUAL_CASE,PUBLIC_SNAPSHOT_ONLY,UNKNOWN,35,P1_CANDIDATE,BRAND_REVIEW;INTERNAL_UTM,YES,ikeda-official-web/note_article_registry_2026-09-13.csv
nb3c7b330fdad,2026-03-12T18:20:11.000+09:00,レイヤーが似合うか不安な方へ｜顔型だけで決めずに確認していること,https://note.com/koichi_ikeda/n/nb3c7b330fdad,PUBLIC,2026-09-16,CEP5_LIGHT_NOT_THIN,TITLE_RULE,B_JUDGMENT,A_ENTRY,LEGACY_REGISTRY,レイヤーが似合うか不安な方へ｜顔型だけで決めずに確認していること,TITLE_PROXY,B_PROFESSIONAL_JUDGMENT,ARTICLE_TEXT_OPERATIONAL_CLASSIFICATION,NOTE_ARTICLE,RELATED_CASE_OR_PRECONSULT,NO,NO,NO,NO,3,1,3,NO,NO,YES,YES,YES,CONSULTATION;LINE;RESERVATION,AGE_ANXIETY:若見え,NO,NO,3,0,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SUPPORTED,POTENTIAL,UNKNOWN,AUDIENCE;CHECKS;CONCERN;JUDGMENT_BRANCH;NEXT_STEP;NOT_DO,ACTUAL_CASE,PUBLIC_SNAPSHOT_ONLY,UNKNOWN,35,P1_CANDIDATE,BRAND_REVIEW;INTERNAL_UTM,YES,ikeda-official-web/note_article_registry_2026-09-13.csv
n775b67a5339c,2026-03-13T06:43:49.000+09:00,三田市で髪が広がる・まとまらない方へ｜量を減らす・レイヤー・縮毛矯正の前に確認したいこと,https://note.com/koichi_ikeda/n/n775b67a5339c,PUBLIC,2026-09-16,CEP3_FRIZZ_DECISION,TITLE_RULE,B_JUDGMENT,A_ENTRY;D_BRIDGE,LEGACY_REGISTRY,三田市で髪が広がる・まとまらない方へ｜量を減らす・レイヤー・縮毛矯正の前に確認したいこと,TITLE_PROXY,B_PROFESSIONAL_JUDGMENT,ARTICLE_TEXT_OPERATIONAL_CLASSIFICATION,CONSULTATION;LINE;NOTE_ARTICLE;RESERVATION,RELATED_CASE_OR_PRECONSULT,NO,YES,YES,YES,6,5,5,NO,NO,YES,YES,YES,CONSULTATION;LINE;RESERVATION,OVERCLAIM:必ず,NO,NO,6,0,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SUPPORTED,POTENTIAL,UNKNOWN,AUDIENCE;CHECKS;CONCERN;JUDGMENT_BRANCH;NEXT_STEP;NOT_DO,ACTUAL_CASE,PUBLIC_SNAPSHOT_ONLY,UNKNOWN,35,P1_CANDIDATE,BRAND_REVIEW;INTERNAL_UTM,YES,ikeda-official-web/note_article_registry_2026-09-13.csv
nf2e9b36aa277,2026-03-15T06:48:33.000+09:00,40代のミディアムは「結んでも綺麗」が正解。お疲れ感が出る人と、品が出る人の決定的な差,https://note.com/koichi_ikeda/n/nf2e9b36aa277,PUBLIC,2026-09-16,CEP1_CHANGE_WITHOUT_FAILURE,LEGACY_REGISTRY,B_JUDGMENT,A_ENTRY;D_BRIDGE,LEGACY_REGISTRY,40代のミディアムは「結んでも綺麗」が正解。お疲れ感が出る人と、品が出る人の決定的な差,TITLE_PROXY,B_PROFESSIONAL_JUDGMENT,ARTICLE_TEXT_OPERATIONAL_CLASSIFICATION,EXTERNAL;LINE;NOTE_ARTICLE,RELATED_CASE_OR_PRECONSULT,NO,NO,YES,NO,7,2,5,NO,NO,YES,YES,YES,CONSULTATION;LINE;RESERVATION,AGE_ANXIETY:老け(?:て)?見え;AGE_ANXIETY:若見え,YES,NO,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SUPPORTED,POTENTIAL,UNKNOWN,AUDIENCE;CHECKS;CONCERN;JUDGMENT_BRANCH;NEXT_STEP;NOT_DO,ACTUAL_CASE,PUBLIC_SNAPSHOT_ONLY,UNKNOWN,45,P1_CANDIDATE,OLD_LINE;BRAND_REVIEW,YES,ikeda-official-web/note_article_registry_2026-09-13.csv
n5ffb8e639541,2026-03-18T06:42:38.000+09:00,40代のミディアム・ロングで雰囲気を変えたい方へ｜長さを切らずに顔まわりを整える考え方,https://note.com/koichi_ikeda/n/n5ffb8e639541,PUBLIC,2026-09-16,CEP1_CHANGE_WITHOUT_FAILURE,TITLE_RULE,A_ENTRY,D_BRIDGE,LEGACY_REGISTRY,40代のミディアム・ロングで雰囲気を変えたい方へ｜長さを切らずに顔まわりを整える考え方,TITLE_PROXY,D_GENERAL_EXPLANATION,ARTICLE_TEXT_OPERATIONAL_CLASSIFICATION,EXTERNAL;LINE;NOTE_ARTICLE,RELATED_JUDGMENT_ARTICLE,NO,NO,YES,NO,5,7,4,NO,NO,YES,YES,YES,CONSULTATION;LINE;RESERVATION,AGE_ANXIETY:老け(?:て)?見え,YES,NO,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,POTENTIAL,UNKNOWN,UNKNOWN,AUDIENCE;CHECKS;CONCERN;JUDGMENT_BRANCH;NEXT_STEP;NOT_DO,ACTUAL_CASE,PUBLIC_SNAPSHOT_ONLY,UNKNOWN,45,P1_CANDIDATE,OLD_LINE;BRAND_REVIEW,YES,ikeda-official-web/note_article_registry_2026-09-13.csv
n3d33767ab824,2026-03-21T07:15:38.000+09:00,三田市で白髪カラーを相談する方へ｜「白髪染め」と決める前に伝えてほしい5つのこと,https://note.com/koichi_ikeda/n/n3d33767ab824,PUBLIC,2026-09-16,CEP2_GRAY_HAIR_NOT_DARK,TITLE_RULE,A_ENTRY,NONE,LEGACY_REGISTRY,三田市で白髪カラーを相談する方へ｜「白髪染め」と決める前に伝えてほしい5つのこと,TITLE_PROXY,D_GENERAL_EXPLANATION,ARTICLE_TEXT_OPERATIONAL_CLASSIFICATION,NOTE_ARTICLE,RELATED_JUDGMENT_ARTICLE,NO,NO,NO,NO,3,1,3,NO,NO,YES,YES,YES,CONSULTATION;LINE;RESERVATION,NONE,NO,NO,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,POTENTIAL,UNKNOWN,UNKNOWN,AUDIENCE;CHECKS;CONCERN;JUDGMENT_BRANCH;NEXT_STEP;NOT_DO,ACTUAL_CASE,PUBLIC_SNAPSHOT_ONLY,UNKNOWN,,OBSERVE,NONE,YES,ikeda-official-web/note_article_registry_2026-09-13.csv
n05d7c58db245,2026-03-22T07:26:28.000+09:00,【三田市】白髪が気になるけれど暗くしたくない方へ｜艶と髪質を整える時に確認したいこと,https://note.com/koichi_ikeda/n/n05d7c58db245,PUBLIC,2026-09-16,CEP2_GRAY_HAIR_NOT_DARK,TITLE_RULE,A_ENTRY,NONE,LEGACY_REGISTRY,【三田市】白髪が気になるけれど暗くしたくない方へ｜艶と髪質を整える時に確認したいこと,TITLE_PROXY,D_GENERAL_EXPLANATION,ARTICLE_TEXT_OPERATIONAL_CLASSIFICATION,NOTE_ARTICLE,RELATED_JUDGMENT_ARTICLE,NO,NO,NO,NO,1,1,1,NO,NO,YES,YES,YES,CONSULTATION;LINE;RESERVATION,NONE,NO,NO,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,POTENTIAL,UNKNOWN,UNKNOWN,AUDIENCE;CHECKS;CONCERN;JUDGMENT_BRANCH;NEXT_STEP;NOT_DO,ACTUAL_CASE,PUBLIC_SNAPSHOT_ONLY,UNKNOWN,,OBSERVE,NONE,YES,ikeda-official-web/note_article_registry_2026-09-13.csv
nbb56aa91d6f3,2026-07-30T18:11:24.000+09:00,三田市でレイヤースタイルを考えている方へ｜広がる・スカスカになるのが不安な時の考え方,https://note.com/koichi_ikeda/n/nbb56aa91d6f3,PUBLIC,2026-09-16,CEP3_FRIZZ_DECISION,TITLE_RULE,A_ENTRY,D_BRIDGE,LEGACY_REGISTRY,三田市でレイヤースタイルを考えている方へ｜広がる・スカスカになるのが不安な時の考え方,TITLE_PROXY,D_GENERAL_EXPLANATION,ARTICLE_TEXT_OPERATIONAL_CLASSIFICATION,EXTERNAL;LINE;NOTE_ARTICLE,RELATED_JUDGMENT_ARTICLE,NO,NO,YES,NO,1,2,1,NO,NO,YES,YES,YES,CONSULTATION;LINE;RESERVATION,NONE,NO,NO,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,POTENTIAL,UNKNOWN,UNKNOWN,AUDIENCE;CHECKS;CONCERN;JUDGMENT_BRANCH;NEXT_STEP,ACTUAL_CASE;NOT_DO,PUBLIC_SNAPSHOT_ONLY,UNKNOWN,,OBSERVE,NONE,YES,ikeda-official-web/note_article_registry_2026-09-13.csv
n65308cfb33d5,2026-07-31T10:33:49.000+09:00,軽くしたのに髪が広がる方へ｜量を減らした後にまとまりにくくなる理由,https://note.com/koichi_ikeda/n/n65308cfb33d5,PUBLIC,2026-09-16,CEP3_FRIZZ_DECISION,TITLE_RULE,A_ENTRY,NONE,LEGACY_REGISTRY,軽くした後になぜ髪が広がるのか原因を理解する,CONFIG_REVIEWED,D_GENERAL_EXPLANATION,ARTICLE_TEXT_OPERATIONAL_CLASSIFICATION,NOTE_ARTICLE,RELATED_JUDGMENT_ARTICLE,NO,NO,NO,NO,4,5,4,NO,NO,YES,YES,YES,CONSULTATION;LINE;RESERVATION,NONE,NO,NO,4,0,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CONFIRMED,CONFIRMED,POTENTIAL,UNKNOWN,UNKNOWN,AUDIENCE;CHECKS;CONCERN;JUDGMENT_BRANCH;NEXT_STEP;NOT_DO,ACTUAL_CASE,PUBLIC_SNAPSHOT_ONLY,UNKNOWN,15,P2_CANDIDATE,INTERNAL_UTM,YES,ikeda-official-web/note_article_registry_2026-09-13.csv
