article_id,published_date,title,url,free_or_paid,content_type,primary_product,score,priority,existing_cta,new_cta,edit_status,public_verified,reason
"n78b31e46d9a6","UNKNOWN","ChatGPTからお客様が来た。でも私は「AIOが成功した」とはまだ考えていない","https://note.com/ikeda_dx/n/n78b31e46d9a6","free","D","P1500","7","PRIORITY_B","未確認（ブラウザ停止）","未実装（ブラウザ停止）","BLOCKED_BROWSER_SESSION","未確認","本文監査によるテーマ一致の編集判断"
"ne1157715c6ac","UNKNOWN","AIで美容師の仕事を効率化するほど、残すべき人間の判断","https://note.com/ikeda_dx/n/ne1157715c6ac","free","C","P500","8","PRIORITY_A","未確認（ブラウザ停止）","未実装（ブラウザ停止）","BLOCKED_BROWSER_SESSION","未確認","本文監査によるテーマ一致の編集判断"
"ne35026d43bb1","UNKNOWN","美容師の「経験年数」は、それだけでは価値にならないと思うようになった","https://note.com/ikeda_dx/n/ne35026d43bb1","free","A","P1500","6","PRIORITY_B","未確認（ブラウザ停止）","未実装（ブラウザ停止）","BLOCKED_BROWSER_SESSION","未確認","本文監査によるテーマ一致の編集判断"
"n35333bbdf5cc","UNKNOWN","売上を上げたいのに、最初に集客を増やさないと決めた理由","https://note.com/ikeda_dx/n/n35333bbdf5cc","free","B","NO_PRODUCT","4","PRIORITY_C","未確認（ブラウザ停止）","そのまま","NO_CHANGE","未確認","本文監査によるテーマ一致の編集判断"
"ncb63fcac819b","UNKNOWN","施術記録を全部残すのをやめた","https://note.com/ikeda_dx/n/ncb63fcac819b","free","B","P1500","9","PRIORITY_A","未確認（ブラウザ停止）","未実装（公開ページにCTA反映せず）","BLOCKED_EDITOR_RISK","確認済み（本文崩れなし・CTAなし）","公開反映を確認できないため再編集保留"
"nb392e104ba4f","UNKNOWN","美容師のAI活用で、一番価値があるのは文章生成ではなかった","https://note.com/ikeda_dx/n/nb392e104ba4f","free","C","P1500","8","PRIORITY_A","未確認（ブラウザ停止）","未実装（ブラウザ停止）","BLOCKED_BROWSER_SESSION","未確認","本文監査によるテーマ一致の編集判断"
"ne2ad0eb3d8f2","UNKNOWN","AIで仕事が増えたあと、僕が実際に変えた仕事の進め方｜Chat・Work・Human Gate","https://note.com/ikeda_dx/n/ne2ad0eb3d8f2","free","B","P500","8","PRIORITY_A","未確認（ブラウザ停止）","未実装（ブラウザ停止）","BLOCKED_BROWSER_SESSION","未確認","本文監査によるテーマ一致の編集判断"
"n70c8806e8848","UNKNOWN","美容師の強みは、得意技術より「判断の履歴」に残るのかもしれない","https://note.com/ikeda_dx/n/n70c8806e8848","free","C","P1500","7","PRIORITY_B","未確認（ブラウザ停止）","未実装（ブラウザ停止）","BLOCKED_BROWSER_SESSION","未確認","本文監査によるテーマ一致の編集判断"
"n443840fabc39","UNKNOWN","AIに仕事を任せる前に、美容師は「何を残すか」を決めた方がいい","https://note.com/ikeda_dx/n/n443840fabc39","free","C","P1500","7","PRIORITY_B","未確認（ブラウザ停止）","未実装（ブラウザ停止）","BLOCKED_BROWSER_SESSION","未確認","本文監査によるテーマ一致の編集判断"
"n87ef6283e23f","UNKNOWN","美容師のカルテに足りないのは「何をしたか」ではなく「なぜそうしたか」かもしれない","https://note.com/ikeda_dx/n/n87ef6283e23f","free","C","P1500","9","PRIORITY_A","未確認（ブラウザ停止）","未実装（ブラウザ停止）","BLOCKED_BROWSER_SESSION","未確認","本文監査によるテーマ一致の編集判断"
"na162d3a12d77","UNKNOWN","「やったこと」より「やらなかったこと」を記録すると、美容師の判断が残りやすい","https://note.com/ikeda_dx/n/na162d3a12d77","free","C","P1500","8","PRIORITY_A","未確認（ブラウザ停止）","未実装（ブラウザ停止）","BLOCKED_BROWSER_SESSION","未確認","本文監査によるテーマ一致の編集判断"
"n556d269a27b0","UNKNOWN","「レイヤーを入れてほしい」に、どこまで応えるべきか","https://note.com/ikeda_dx/n/n556d269a27b0","free","B","NO_PRODUCT","6","PRIORITY_B","未確認（ブラウザ停止）","未実装（ブラウザ停止）","BLOCKED_BROWSER_SESSION","未確認","本文監査によるテーマ一致の編集判断"
"nb3be68f14684","UNKNOWN","AIで仕事が速くなったのに、なぜ仕事は減らないのか","https://note.com/ikeda_dx/n/nb3be68f14684","free","A","P500","8","PRIORITY_A","未確認（ブラウザ停止）","未実装（ブラウザ停止）","BLOCKED_BROWSER_SESSION","未確認","本文監査によるテーマ一致の編集判断"
"n8cc49a3dab32","UNKNOWN","AIに任せたい仕事と、任せたくない仕事","https://note.com/ikeda_dx/n/n8cc49a3dab32","free","C","P500","8","PRIORITY_A","未確認（ブラウザ停止）","未実装（ブラウザ停止）","BLOCKED_BROWSER_SESSION","未確認","本文監査によるテーマ一致の編集判断"
"n01a5ed832ec4","UNKNOWN","「AIに買い物相談する」4割","https://note.com/ikeda_dx/n/n01a5ed832ec4","free","D","NO_PRODUCT","4","PRIORITY_C","未確認（ブラウザ停止）","そのまま","NO_CHANGE","未確認","本文監査によるテーマ一致の編集判断"
"n5ea9bb8b3a71","UNKNOWN","美容師の専門性は“○○専門”だけなのか？","https://note.com/ikeda_dx/n/n5ea9bb8b3a71","free","A","NO_PRODUCT","3","PRIORITY_C","未確認（ブラウザ停止）","そのまま","NO_CHANGE","未確認","本文監査によるテーマ一致の編集判断"
"n3bb85e39439b","UNKNOWN","売上目標を立てたのに、完成した仕組みを作らないことにした","https://note.com/ikeda_dx/n/n3bb85e39439b","free","B","NO_PRODUCT","4","PRIORITY_C","未確認（ブラウザ停止）","そのまま","NO_CHANGE","未確認","本文監査によるテーマ一致の編集判断"
"n3e73cddc7718","UNKNOWN","ChatGPTで美容室を探して来店したお客様がいた","https://note.com/ikeda_dx/n/n3e73cddc7718","free","D","P1500","6","PRIORITY_B","未確認（ブラウザ停止）","未実装（ブラウザ停止）","BLOCKED_BROWSER_SESSION","未確認","本文監査によるテーマ一致の編集判断"
"n9f32febb602e","UNKNOWN","美容師のビフォーアフターは、もう結果だけでは弱い","https://note.com/ikeda_dx/n/n9f32febb602e","free","A","P1500","6","PRIORITY_B","未確認（ブラウザ停止）","未実装（ブラウザ停止）","BLOCKED_BROWSER_SESSION","未確認","本文監査によるテーマ一致の編集判断"
"n334ccd2e65f1","UNKNOWN","AIにSNS投稿を書かせるだけではもったいない","https://note.com/ikeda_dx/n/n334ccd2e65f1","free","C","P500","7","PRIORITY_B","未確認（ブラウザ停止）","未実装（ブラウザ停止）","BLOCKED_BROWSER_SESSION","未確認","本文監査によるテーマ一致の編集判断"
"nb324ee80431d","UNKNOWN","美容師の経験を“勘”のまま終わらせない","https://note.com/ikeda_dx/n/nb324ee80431d","free","C","P1500","9","PRIORITY_A","未確認（ブラウザ停止）","未実装（ブラウザ停止）","BLOCKED_BROWSER_SESSION","未確認","本文監査によるテーマ一致の編集判断"
"n511d6494b61f","UNKNOWN","若い世代も検索エンジンを使っている","https://note.com/ikeda_dx/n/n511d6494b61f","free","D","P1500","3","PRIORITY_C","未確認（ブラウザ停止）","そのまま","NO_CHANGE","未確認","本文監査によるテーマ一致の編集判断"
"nea379721ff9a","UNKNOWN","このnoteで、これから残していきたいこと","https://note.com/ikeda_dx/n/nea379721ff9a","free","A","NO_PRODUCT","6","PRIORITY_B","未確認（ブラウザ停止）","未実装（ブラウザ停止）","BLOCKED_BROWSER_SESSION","未確認","本文監査によるテーマ一致の編集判断"
"nd4af1f501f9d","UNKNOWN","なぜ、職場では「気づく人」に仕事が集まるのか","https://note.com/ikeda_dx/n/nd4af1f501f9d","free","A","P1500","3","PRIORITY_C","未確認（ブラウザ停止）","そのまま","NO_CHANGE","未確認","本文監査によるテーマ一致の編集判断"
"nbd430f6ecac2","UNKNOWN","正しい提案なのに、なぜ職場では動かないのか","https://note.com/ikeda_dx/n/nbd430f6ecac2","free","A","NO_PRODUCT","4","PRIORITY_C","未確認（ブラウザ停止）","そのまま","NO_CHANGE","未確認","本文監査によるテーマ一致の編集判断"
