source_article_id,source_url,target_type,target_article_id,target_url,anchor_text,utm_source,utm_medium,utm_campaign,utm_status,anchor_status
nf29ebc26bd76,https://note.com/koichi_ikeda/n/nf29ebc26bd76,NOTE_ARTICLE,n47ad7c3d95fe,https://note.com/koichi_ikeda/n/n47ad7c3d95fe?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n47ad7c3d95fe,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
nf29ebc26bd76,https://note.com/koichi_ikeda/n/nf29ebc26bd76,NOTE_ARTICLE,nec839cc36cac,https://note.com/koichi_ikeda/n/nec839cc36cac?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/nec839cc36cac,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
nf29ebc26bd76,https://note.com/koichi_ikeda/n/nf29ebc26bd76,NOTE_ARTICLE,nfdc25e93418f,https://note.com/koichi_ikeda/n/nfdc25e93418f?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/nfdc25e93418f,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
nf29ebc26bd76,https://note.com/koichi_ikeda/n/nf29ebc26bd76,NOTE_ARTICLE,nacbe18cfbbc2,https://note.com/koichi_ikeda/n/nacbe18cfbbc2?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/nacbe18cfbbc2,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n820d578c951d,https://note.com/koichi_ikeda/n/n820d578c951d,NOTE_ARTICLE,n4a9b55a64e75,https://note.com/koichi_ikeda/n/n4a9b55a64e75?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n4a9b55a64e75,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n820d578c951d,https://note.com/koichi_ikeda/n/n820d578c951d,NOTE_ARTICLE,n5ffb8e639541,https://note.com/koichi_ikeda/n/n5ffb8e639541?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n5ffb8e639541,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n820d578c951d,https://note.com/koichi_ikeda/n/n820d578c951d,NOTE_ARTICLE,n61dedbe2b8f9,https://note.com/koichi_ikeda/n/n61dedbe2b8f9?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n61dedbe2b8f9,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n820d578c951d,https://note.com/koichi_ikeda/n/n820d578c951d,NOTE_ARTICLE,nacbe18cfbbc2,https://note.com/koichi_ikeda/n/nacbe18cfbbc2?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/nacbe18cfbbc2,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n26cb6103892a,https://note.com/koichi_ikeda/n/n26cb6103892a,NOTE_ARTICLE,n7abf88d82b87,https://note.com/koichi_ikeda/n/n7abf88d82b87?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n7abf88d82b87,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n26cb6103892a,https://note.com/koichi_ikeda/n/n26cb6103892a,NOTE_ARTICLE,n341eb4c05451,https://note.com/koichi_ikeda/n/n341eb4c05451?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n341eb4c05451,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n26cb6103892a,https://note.com/koichi_ikeda/n/n26cb6103892a,NOTE_ARTICLE,n5ffb8e639541,https://note.com/koichi_ikeda/n/n5ffb8e639541?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n5ffb8e639541,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n26cb6103892a,https://note.com/koichi_ikeda/n/n26cb6103892a,NOTE_ARTICLE,n61dedbe2b8f9,https://note.com/koichi_ikeda/n/n61dedbe2b8f9?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n61dedbe2b8f9,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n26cb6103892a,https://note.com/koichi_ikeda/n/n26cb6103892a,NOTE_ARTICLE,nff5536b5d028,https://note.com/koichi_ikeda/n/nff5536b5d028?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/nff5536b5d028,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n26cb6103892a,https://note.com/koichi_ikeda/n/n26cb6103892a,NOTE_ARTICLE,nacbe18cfbbc2,https://note.com/koichi_ikeda/n/nacbe18cfbbc2?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/nacbe18cfbbc2,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n26cb6103892a,https://note.com/koichi_ikeda/n/n26cb6103892a,NOTE_ARTICLE,ne5cd7acfddda,https://note.com/koichi_ikeda/n/ne5cd7acfddda?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/ne5cd7acfddda,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
nff5536b5d028,https://note.com/koichi_ikeda/n/nff5536b5d028,NOTE_ARTICLE,nf2e9b36aa277,https://note.com/koichi_ikeda/n/nf2e9b36aa277,40代のミディアムは「結んでも綺麗」が正解。お疲れ感が出る人と、品が出る人の決定的な差,,,,OK,OK
nff5536b5d028,https://note.com/koichi_ikeda/n/nff5536b5d028,NOTE_ARTICLE,n61dedbe2b8f9,https://note.com/koichi_ikeda/n/n61dedbe2b8f9,三田市でレイヤーカットが得意な美容師を探している方へ｜池田航一の施術と相談方法,,,,OK,OK
nff5536b5d028,https://note.com/koichi_ikeda/n/nff5536b5d028,NOTE_ARTICLE,ne5cd7acfddda,https://note.com/koichi_ikeda/n/ne5cd7acfddda,こだわりメニューと料金表,,,,OK,OK
nff5536b5d028,https://note.com/koichi_ikeda/n/nff5536b5d028,NOTE_ARTICLE,nf2e9b36aa277,https://note.com/koichi_ikeda/n/nf2e9b36aa277,40代のミディアムは「結んでも綺麗」が正解。お疲れ感が出る人と、品が出る人の決定的な差,,,,OK,OK
nff5536b5d028,https://note.com/koichi_ikeda/n/nff5536b5d028,NOTE_ARTICLE,n7abf88d82b87,https://note.com/koichi_ikeda/n/n7abf88d82b87,白髪染めを繰り返すほど「老けて見える」のはなぜ？三田市の美容師が教える、40代からの髪の正解。,,,,OK,OK
nff5536b5d028,https://note.com/koichi_ikeda/n/nff5536b5d028,NOTE_ARTICLE,ne5cd7acfddda,https://note.com/koichi_ikeda/n/ne5cd7acfddda,こだわりメニューと料金表,,,,OK,OK
nff5536b5d028,https://note.com/koichi_ikeda/n/nff5536b5d028,LINE,,https://lin.ee/hX5uJxc,公式LINEはこちら,,,,NOT_APPLICABLE,OK
nff5536b5d028,https://note.com/koichi_ikeda/n/nff5536b5d028,EXTERNAL,,https://www.instagram.com/sanda_layercut_ikeda/,Instagramはこちら,,,,NOT_APPLICABLE,OK
n8ee093a81681,https://note.com/koichi_ikeda/n/n8ee093a81681,NOTE_ARTICLE,n5ffb8e639541,https://note.com/koichi_ikeda/n/n5ffb8e639541?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n5ffb8e639541,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n8ee093a81681,https://note.com/koichi_ikeda/n/n8ee093a81681,NOTE_ARTICLE,n61dedbe2b8f9,https://note.com/koichi_ikeda/n/n61dedbe2b8f9?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n61dedbe2b8f9,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n8ee093a81681,https://note.com/koichi_ikeda/n/n8ee093a81681,NOTE_ARTICLE,n65308cfb33d5,https://note.com/koichi_ikeda/n/n65308cfb33d5?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n65308cfb33d5,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n8ee093a81681,https://note.com/koichi_ikeda/n/n8ee093a81681,NOTE_ARTICLE,n4a9b55a64e75,https://note.com/koichi_ikeda/n/n4a9b55a64e75?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n4a9b55a64e75,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n8ee093a81681,https://note.com/koichi_ikeda/n/n8ee093a81681,NOTE_ARTICLE,n820d578c951d,https://note.com/koichi_ikeda/n/n820d578c951d?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n820d578c951d,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n8ee093a81681,https://note.com/koichi_ikeda/n/n8ee093a81681,NOTE_ARTICLE,n7abf88d82b87,https://note.com/koichi_ikeda/n/n7abf88d82b87?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n7abf88d82b87,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n8ee093a81681,https://note.com/koichi_ikeda/n/n8ee093a81681,NOTE_ARTICLE,n341eb4c05451,https://note.com/koichi_ikeda/n/n341eb4c05451?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n341eb4c05451,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n8ee093a81681,https://note.com/koichi_ikeda/n/n8ee093a81681,NOTE_ARTICLE,n47ad7c3d95fe,https://note.com/koichi_ikeda/n/n47ad7c3d95fe?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n47ad7c3d95fe,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n8ee093a81681,https://note.com/koichi_ikeda/n/n8ee093a81681,NOTE_ARTICLE,n26cb6103892a,https://note.com/koichi_ikeda/n/n26cb6103892a?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n26cb6103892a,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n8ee093a81681,https://note.com/koichi_ikeda/n/n8ee093a81681,NOTE_ARTICLE,nff5536b5d028,https://note.com/koichi_ikeda/n/nff5536b5d028?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/nff5536b5d028,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n8ee093a81681,https://note.com/koichi_ikeda/n/n8ee093a81681,NOTE_ARTICLE,nacbe18cfbbc2,https://note.com/koichi_ikeda/n/nacbe18cfbbc2?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/nacbe18cfbbc2,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n8ee093a81681,https://note.com/koichi_ikeda/n/n8ee093a81681,NOTE_ARTICLE,ne5cd7acfddda,https://note.com/koichi_ikeda/n/ne5cd7acfddda?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/ne5cd7acfddda,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
nac40e158ff77,https://note.com/koichi_ikeda/n/nac40e158ff77,NOTE_ARTICLE,n5ffb8e639541,https://note.com/koichi_ikeda/n/n5ffb8e639541?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n5ffb8e639541,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
nac40e158ff77,https://note.com/koichi_ikeda/n/nac40e158ff77,NOTE_ARTICLE,n61dedbe2b8f9,https://note.com/koichi_ikeda/n/n61dedbe2b8f9?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n61dedbe2b8f9,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
nac40e158ff77,https://note.com/koichi_ikeda/n/nac40e158ff77,NOTE_ARTICLE,nacbe18cfbbc2,https://note.com/koichi_ikeda/n/nacbe18cfbbc2?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/nacbe18cfbbc2,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n1a8cc1194751,https://note.com/koichi_ikeda/n/n1a8cc1194751,NOTE_ARTICLE,nb3c7b330fdad,https://note.com/koichi_ikeda/n/nb3c7b330fdad?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/nb3c7b330fdad,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n1a8cc1194751,https://note.com/koichi_ikeda/n/n1a8cc1194751,NOTE_ARTICLE,n4a9b55a64e75,https://note.com/koichi_ikeda/n/n4a9b55a64e75?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n4a9b55a64e75,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n1a8cc1194751,https://note.com/koichi_ikeda/n/n1a8cc1194751,NOTE_ARTICLE,n61dedbe2b8f9,https://note.com/koichi_ikeda/n/n61dedbe2b8f9?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n61dedbe2b8f9,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n1a8cc1194751,https://note.com/koichi_ikeda/n/n1a8cc1194751,NOTE_ARTICLE,n5ffb8e639541,https://note.com/koichi_ikeda/n/n5ffb8e639541?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n5ffb8e639541,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n1a8cc1194751,https://note.com/koichi_ikeda/n/n1a8cc1194751,NOTE_ARTICLE,nacbe18cfbbc2,https://note.com/koichi_ikeda/n/nacbe18cfbbc2?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/nacbe18cfbbc2,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
nadbc274ac777,https://note.com/koichi_ikeda/n/nadbc274ac777,NOTE_ARTICLE,n61dedbe2b8f9,https://note.com/koichi_ikeda/n/n61dedbe2b8f9?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n61dedbe2b8f9,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
nadbc274ac777,https://note.com/koichi_ikeda/n/nadbc274ac777,NOTE_ARTICLE,n4a9b55a64e75,https://note.com/koichi_ikeda/n/n4a9b55a64e75?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n4a9b55a64e75,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
nadbc274ac777,https://note.com/koichi_ikeda/n/nadbc274ac777,NOTE_ARTICLE,n7abf88d82b87,https://note.com/koichi_ikeda/n/n7abf88d82b87?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n7abf88d82b87,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
nadbc274ac777,https://note.com/koichi_ikeda/n/nadbc274ac777,NOTE_ARTICLE,nacbe18cfbbc2,https://note.com/koichi_ikeda/n/nacbe18cfbbc2?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/nacbe18cfbbc2,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
nb3c7b330fdad,https://note.com/koichi_ikeda/n/nb3c7b330fdad,NOTE_ARTICLE,n61dedbe2b8f9,https://note.com/koichi_ikeda/n/n61dedbe2b8f9?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n61dedbe2b8f9,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
nb3c7b330fdad,https://note.com/koichi_ikeda/n/nb3c7b330fdad,NOTE_ARTICLE,n5ffb8e639541,https://note.com/koichi_ikeda/n/n5ffb8e639541?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n5ffb8e639541,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
nb3c7b330fdad,https://note.com/koichi_ikeda/n/nb3c7b330fdad,NOTE_ARTICLE,nacbe18cfbbc2,https://note.com/koichi_ikeda/n/nacbe18cfbbc2?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/nacbe18cfbbc2,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n775b67a5339c,https://note.com/koichi_ikeda/n/n775b67a5339c,NOTE_ARTICLE,n874020106a81,https://note.com/koichi_ikeda/n/n874020106a81?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n874020106a81,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n775b67a5339c,https://note.com/koichi_ikeda/n/n775b67a5339c,NOTE_ARTICLE,n58cc043f5fa4,https://note.com/koichi_ikeda/n/n58cc043f5fa4?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n58cc043f5fa4,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n775b67a5339c,https://note.com/koichi_ikeda/n/n775b67a5339c,NOTE_ARTICLE,n47ad7c3d95fe,https://note.com/koichi_ikeda/n/n47ad7c3d95fe?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n47ad7c3d95fe,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n775b67a5339c,https://note.com/koichi_ikeda/n/n775b67a5339c,NOTE_ARTICLE,n282cb4929242,https://note.com/koichi_ikeda/n/n282cb4929242?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n282cb4929242,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n775b67a5339c,https://note.com/koichi_ikeda/n/n775b67a5339c,NOTE_ARTICLE,n670a62197b88,https://note.com/koichi_ikeda/n/n670a62197b88?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/n670a62197b88,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n775b67a5339c,https://note.com/koichi_ikeda/n/n775b67a5339c,NOTE_ARTICLE,nacbe18cfbbc2,https://note.com/koichi_ikeda/n/nacbe18cfbbc2?utm_source=chatgpt.com,https://note.com/koichi_ikeda/n/nacbe18cfbbc2,chatgpt.com,,,INTERNAL_UTM_REMOVE,OK
n775b67a5339c,https://note.com/koichi_ikeda/n/n775b67a5339c,CONSULTATION,,https://ikeda-hair-consultation.ikedakoichi7326.chatgpt.site/,髪のことを相談する,,,,NOT_APPLICABLE,OK
n775b67a5339c,https://note.com/koichi_ikeda/n/n775b67a5339c,LINE,,https://lin.ee/rG3y2px,LINEで相談する,,,,NOT_APPLICABLE,OK
n775b67a5339c,https://note.com/koichi_ikeda/n/n775b67a5339c,RESERVATION,,https://y7xzhn-google.b-merit.jp/n3icrs/web/,Web予約する,,,,NOT_APPLICABLE,OK
nf2e9b36aa277,https://note.com/koichi_ikeda/n/nf2e9b36aa277,NOTE_ARTICLE,n5ffb8e639541,https://note.com/koichi_ikeda/n/n5ffb8e639541,切らずに「若見え」が叶う。40代からのミディアム・ロングは、顔まわりの“レイヤー”が鍵,,,,OK,OK
nf2e9b36aa277,https://note.com/koichi_ikeda/n/nf2e9b36aa277,NOTE_ARTICLE,nff5536b5d028,https://note.com/koichi_ikeda/n/nff5536b5d028,三田市でミディアムレイヤーカットが上手い美容院を探している方へ,,,,OK,OK
nf2e9b36aa277,https://note.com/koichi_ikeda/n/nf2e9b36aa277,NOTE_ARTICLE,nc618049c3261,https://note.com/koichi_ikeda/n/nc618049c3261,三田市で「広がるからレイヤーは無理」と思っている方へ,,,,OK,OK
nf2e9b36aa277,https://note.com/koichi_ikeda/n/nf2e9b36aa277,NOTE_ARTICLE,n7abf88d82b87,https://note.com/koichi_ikeda/n/n7abf88d82b87,白髪染めを繰り返すほど「老けて見える」のはなぜ？三田市の美容師が教える、40代からの髪の正解。,,,,OK,OK
nf2e9b36aa277,https://note.com/koichi_ikeda/n/nf2e9b36aa277,NOTE_ARTICLE,nacbe18cfbbc2,https://note.com/koichi_ikeda/n/nacbe18cfbbc2,初めての方へ｜髪型やメニューについて相談する方法,,,,OK,OK
nf2e9b36aa277,https://note.com/koichi_ikeda/n/nf2e9b36aa277,NOTE_ARTICLE,ne5cd7acfddda,https://note.com/koichi_ikeda/n/ne5cd7acfddda,こだわりメニューと料金表,,,,OK,OK
nf2e9b36aa277,https://note.com/koichi_ikeda/n/nf2e9b36aa277,LINE,,https://lin.ee/hX5uJxc,公式LINEはこちら,,,,NOT_APPLICABLE,OK
nf2e9b36aa277,https://note.com/koichi_ikeda/n/nf2e9b36aa277,EXTERNAL,,https://www.instagram.com/sanda_layercut_ikeda/,Instagramはこちら,,,,NOT_APPLICABLE,OK
nf2e9b36aa277,https://note.com/koichi_ikeda/n/nf2e9b36aa277,NOTE_ARTICLE,n27c3d56b341b,https://note.com/koichi_ikeda/n/n27c3d56b341b,https://note.com/koichi_ikeda/n/n27c3d56b341b,,,,OK,OK
n5ffb8e639541,https://note.com/koichi_ikeda/n/n5ffb8e639541,NOTE_ARTICLE,n7abf88d82b87,https://note.com/koichi_ikeda/n/n7abf88d82b87,白髪染めを繰り返すほど「老けて見える」のはなぜ？三田市の美容師が教える、40代からの髪の正解。,,,,OK,OK
n5ffb8e639541,https://note.com/koichi_ikeda/n/n5ffb8e639541,NOTE_ARTICLE,nf2e9b36aa277,https://note.com/koichi_ikeda/n/nf2e9b36aa277,40代のミディアムは「結んでも綺麗」が正解。お疲れ感が出る人と、品が出る人の決定的な差,,,,OK,OK
n5ffb8e639541,https://note.com/koichi_ikeda/n/n5ffb8e639541,NOTE_ARTICLE,nff5536b5d028,https://note.com/koichi_ikeda/n/nff5536b5d028,三田市でミディアムレイヤーカットが上手い美容院を探している方へ,,,,OK,OK
n5ffb8e639541,https://note.com/koichi_ikeda/n/n5ffb8e639541,NOTE_ARTICLE,nacbe18cfbbc2,https://note.com/koichi_ikeda/n/nacbe18cfbbc2,三田市で髪型やメニューについて相談できる美容師を探している方へ｜初めてのご予約前に,,,,OK,OK
n5ffb8e639541,https://note.com/koichi_ikeda/n/n5ffb8e639541,NOTE_ARTICLE,ne5cd7acfddda,https://note.com/koichi_ikeda/n/ne5cd7acfddda,こだわりメニューと料金表,,,,OK,OK
n5ffb8e639541,https://note.com/koichi_ikeda/n/n5ffb8e639541,LINE,,https://lin.ee/hX5uJxc,公式LINEはこちら,,,,NOT_APPLICABLE,OK
n5ffb8e639541,https://note.com/koichi_ikeda/n/n5ffb8e639541,EXTERNAL,,https://www.instagram.com/sanda_layercut_ikeda/,Instagramはこちら,,,,NOT_APPLICABLE,OK
n3d33767ab824,https://note.com/koichi_ikeda/n/n3d33767ab824,NOTE_ARTICLE,n7abf88d82b87,https://note.com/koichi_ikeda/n/n7abf88d82b87,https://note.com/koichi_ikeda/n/n7abf88d82b87,,,,OK,OK
